Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Distance_to_coast
80800,3.0257,52,862,215,994,213,5377.371952
128800,1.4886,50,1920,530,1525,477,5337.285928
112500,1.9338,43,1420,472,1506,438,5377.371952
119400,1.4844,52,986,258,1008,255,5377.371952
118100,1.6009,44,2340,825,2813,751,5377.371952
122500,2.0375,48,1696,396,1481,343,5799.521768
106300,2.293,49,1175,217,859,219,5799.521768
132500,2.1494,37,2343,574,1608,523,6448.618559
122700,1.6198,30,610,145,425,140,5799.521768
113300,1.3281,40,930,199,564,184,5799.521768
109500,3.5156,44,1487,314,961,272,6448.618559
164700,3.9048,52,3424,690,2273,685,6448.618559
125000,3.0893,52,762,190,600,195,6534.583344
124700,2.6042,46,2366,575,1647,527,6448.618559
136700,2.5,49,1826,450,1201,424,6448.618559
141700,2.7969,38,3049,711,2167,659,6448.618559
150000,2.8321,29,1640,376,939,340,6735.163378
138800,2.9583,47,1543,307,859,292,6534.583344
139200,2.8365,34,2364,557,1517,516,6534.583344
143800,2.875,35,1745,409,1143,386,6534.583344
156500,3.0682,39,2003,500,1109,464,7632.426885
151000,3.0757,39,2018,447,1221,446,7632.426885
273000,4.9559,43,3045,499,1115,455,7805.948837
217100,4.7721,52,1547,293,706,268,7805.948837
187100,3.4861,52,3519,711,1883,706,7632.426885
239600,5.1184,41,2070,354,804,340,7805.948837
229700,4.0977,48,1321,263,506,252,7632.426885
257300,4.744,48,1694,259,610,238,8070.902204
246900,4.2727,46,1938,341,768,332,8070.902204
179900,2.9844,50,968,195,462,184,7040.569582
169600,4.1739,40,1060,256,667,235,6735.163378
203300,3.8487,46,2041,405,1059,399,7805.948837
263400,4.0114,52,1813,271,637,277,8070.902204
231800,4.6563,45,2718,451,1106,454,7040.569582
140500,2.9297,28,3144,761,1737,669,7040.569582
126000,2.3036,35,1802,459,1009,390,6735.163378
122000,2.6667,49,882,195,737,210,6735.163378
134700,2.619,44,1621,452,1354,491,6735.163378
139400,2.4167,45,2115,533,1530,474,6534.583344
115400,2.7788,45,2021,528,1410,480,6735.163378
137300,2.7352,46,2239,508,1390,569,5440.851975
137000,1.8472,52,1477,300,1065,269,5440.851975
142600,2.6583,52,1056,224,792,245,5440.851975
137500,3.0536,49,898,244,779,245,5440.851975
111700,2.3906,44,2968,710,2269,610,5337.285928
126800,1.7188,43,1702,460,1227,407,5440.851975
111300,2.625,47,881,248,753,241,5440.851975
114800,2.8015,40,494,114,547,135,4226.277699
102300,1.7276,50,1776,473,1807,440,5337.285928
131900,2.0801,44,1678,514,1700,495,5337.285928
119100,2.489,51,1637,463,1543,393,5337.285928
80600,1.7546,52,1420,314,1085,300,3290.233828
80600,4.0904,52,591,173,353,137,4356.354355
88800,2.6765,52,745,153,473,149,4356.354355
102400,2.4338,49,2272,498,1621,483,4651.90171
98700,2.3309,46,1234,375,1183,354,4356.354355
1.00E+05,2.2604,43,1017,328,836,277,4356.354355
92300,1.8039,42,932,254,900,263,5084.144167
94800,2.2562,39,2689,597,1888,537,4651.90171
102000,2.0562,41,1547,415,1024,341,4651.90171
158400,3.5398,52,2300,443,1225,423,5680.217997
121600,3.1167,39,1752,399,1071,376,5680.217997
129100,2.5401,50,1867,403,1128,378,5680.217997
121400,2.898,43,2430,502,1537,484,4651.90171
102800,2.3125,44,1729,414,1240,393,5440.851975
160000,2.875,52,1026,180,469,168,6039.258223
143900,3.3715,52,2170,428,1086,425,5084.144167
151200,3.5114,52,2329,445,1144,417,5084.144167
164400,4.3125,52,2492,415,1109,375,6039.258223
156500,3.22,52,2198,397,984,369,6039.258223
225000,3.875,33,142,31,575,47,6498.165922
174200,5.2328,49,1183,205,496,209,6039.258223
166900,3.7262,52,1070,193,555,190,6039.258223
163500,4.5893,45,1766,332,869,327,5680.217997
253000,5.2578,39,617,95,236,106,7437.9004
240700,7.0875,41,1411,233,626,214,7437.9004
208100,3.9712,46,2109,387,922,329,7437.9004
198100,2.9514,47,1229,243,582,256,7040.569582
172800,2.6667,50,954,217,546,201,7040.569582
336700,5.4446,37,1643,262,620,266,9430.448165
318200,6.2838,34,1355,195,442,195,8419.704653
285800,6.7527,23,2317,336,955,328,8419.704653
293000,7.0712,24,2459,317,916,324,9141.323823
371000,5.9849,22,12842,2048,4985,1967,8453.667296
157300,3.6875,42,1524,260,651,267,7037.431194
135300,2.875,30,3326,746,1704,703,6237.233753
136700,3.4205,43,1985,440,1085,407,6498.165922
160700,3.2984,50,1642,322,713,284,6498.165922
140600,3.875,49,893,177,468,181,7037.431194
144000,4.175,52,653,128,296,121,7037.431194
161900,4.375,47,1256,217,570,218,6910.08794
156300,4.7708,48,977,194,446,180,6910.08794
176000,3.5739,45,2324,397,968,384,6910.08794
145800,3.0958,39,1583,349,857,316,6910.08794
141900,3.3958,39,1612,342,912,322,6237.233753
90700,1.871,31,2424,533,1360,452,6237.233753
90600,1.9356,41,1594,367,1074,355,5545.592294
107900,2.1842,47,2118,413,965,382,5545.592294
107000,2.2917,37,1575,358,933,320,4842.761866
98200,2.4333,38,1764,397,987,354,5545.592294
89500,1.9479,50,1187,261,907,246,4842.761866
93800,3.9063,52,754,175,447,165,4842.761866
96700,1.8407,49,2308,452,1299,451,4842.761866
97500,2.0786,27,909,236,396,157,5621.638586
97300,2.8125,42,1180,257,877,268,5621.638586
91200,1.8913,43,2018,408,1111,367,4842.761866
91400,1.7056,49,1368,282,790,269,4206.81187
96200,2.2768,52,2744,547,1479,554,5621.638586
120100,3.2552,51,2107,471,1173,438,5621.638586
1.00E+05,2.0556,52,1748,362,1029,366,5621.638586
94700,2.4659,52,2024,391,1030,350,4206.81187
85700,1.75,47,1116,259,826,279,3672.650924
89300,2.0469,41,2036,510,1412,454,5084.144167
101400,2.7159,45,1852,393,1132,349,5084.144167
72500,1.2083,41,921,207,522,159,4206.81187
74100,1.925,45,995,238,630,237,4206.81187
70000,1.5809,36,606,132,531,133,2794.530794
84600,1.4097,37,2680,736,1925,667,3672.650924
81800,0.7683,38,1493,370,1144,351,4206.81187
81400,1.3194,19,2207,565,1481,520,3466.824553
81800,0.8012,28,856,189,435,162,3466.824553
85800,1.9479,26,1293,297,984,303,4206.81187
87100,1.1765,36,847,212,567,159,2968.727175
83500,2.3456,42,541,154,380,123,3817.063385
79700,2.1538,44,1066,253,825,244,2842.652244
83400,2.5139,43,707,147,417,155,2968.727175
84700,1.2625,45,1528,291,801,287,2842.652244
80000,2.9063,42,909,215,646,198,3719.957147
76400,2.5192,43,1391,293,855,285,3719.957147
79700,2.1111,44,548,119,435,136,3719.957147
82400,2.455,42,4074,874,2736,780,3719.957147
97700,2.4028,41,1613,445,1481,414,4676.879049
97200,2.15,47,463,134,327,137,4676.879049
101600,2.4776,43,818,193,494,179,4676.879049
86500,2.1587,43,1473,371,1231,341,4598.074856
90500,1.8438,35,504,126,323,109,3817.063385
107600,3.0298,46,1026,226,749,225,4676.879049
84200,2.25,46,769,183,693,178,4676.879049
88900,2.2467,46,2103,391,1339,354,3817.063385
80700,4.0469,45,330,76,282,80,4216.008379
87100,1.325,46,941,218,621,195,4216.008379
85100,1.6196,38,992,279,732,259,5007.690566
82000,2.1731,45,990,261,901,260,4216.008379
82800,1.9167,36,1126,263,482,150,3466.824553
84600,2.069,43,1036,233,652,213,4216.008379
82100,1.712,36,1047,214,651,166,4216.008379
89300,2.5625,33,1280,307,999,286,5545.592294
98300,1.9821,43,1587,320,907,306,5007.690566
92300,2.5043,41,1257,271,828,230,5007.690566
88800,2.3281,44,1218,248,763,254,5007.690566
90000,1.4375,48,1751,390,935,349,5007.690566
95500,2.5122,45,2299,514,1437,484,6292.934151
91700,1.5625,38,2457,624,1516,482,5824.567526
100400,3.1587,47,998,211,597,185,5007.690566
94800,1.8426,40,1685,343,949,342,5545.592294
164300,4.6696,46,1827,307,881,302,6292.934151
155500,2.4598,36,2781,574,1438,519,6292.934151
196900,6.0749,39,1823,286,763,270,7070.687478
279100,4.8304,27,2229,365,1297,355,8371.360322
252800,5.5701,34,1513,231,545,211,7869.840996
275400,5.37,26,3266,491,1222,533,8684.488918
250000,6.86,33,1809,261,808,219,9207.81797
329800,7.6923,28,794,111,329,109,9207.81797
195500,4.0313,36,690,105,299,109,7500.798773
255900,6.8323,33,1334,200,579,202,7500.798773
311100,4.975,30,414,54,137,50,8351.631895
330000,5.3602,36,768,93,229,93,8351.631895
248900,5,41,4400,666,1476,648,8157.942379
142900,2.925,46,954,161,429,154,5824.567526
126300,3.8913,40,1445,256,849,255,6657.371306
135800,3.225,44,1938,399,946,331,6657.371306
130600,3.1458,41,856,178,571,191,6412.443024
107900,2.537,24,1790,454,1137,386,5824.567526
111100,2.5568,44,617,131,378,135,5824.567526
122000,3.5083,43,1383,275,853,272,6412.443024
118000,3.3125,49,1325,277,764,282,6412.443024
95200,1.8235,40,1227,294,928,261,5824.567526
94300,3.8047,35,667,140,406,133,5824.567526
92500,2.2917,34,1223,281,824,280,4676.879049
91800,2.4962,37,1379,287,835,259,5007.690566
109400,4.0417,43,1534,300,826,295,5542.834584
129500,3.4844,46,1029,181,567,211,5542.834584
143400,4.1458,52,771,147,355,144,5542.834584
98200,2.625,47,824,223,533,166,5542.834584
103100,2.0227,44,1097,239,609,215,5542.834584
276800,3.3333,49,1283,238,576,236,3830.768673
270900,5.338,52,1604,263,594,286,3830.768673
246200,3.4732,52,2248,422,870,377,3881.676339
224200,3.5125,38,2263,522,1027,509,2958.944293
229100,3.1375,52,1571,349,693,326,3881.676339
211600,2.8036,46,1520,402,815,375,3024.428823
256100,4.5824,15,5083,1212,2420,1146,2958.944293
206300,3.0208,36,1077,293,518,276,3024.428823
221300,4.0875,52,1248,283,620,275,3024.428823
207400,4.5268,42,1342,291,551,266,791.5494265
350000,1.7375,37,3061,930,2556,924,1931.304004
218200,3.1795,52,3171,698,1498,696,3881.676339
216700,3.8672,50,1211,261,523,227,4234.724999
270600,5.1675,52,979,175,374,153,3881.676339
261400,5.1696,52,2269,380,1004,371,3881.676339
261300,4.2614,52,1844,332,769,334,5039.262644
232200,5.0551,52,2178,421,940,423,3881.676339
375400,5.6228,42,1650,274,645,256,5579.703209
357300,7.8864,52,1927,279,705,288,6455.381451
374400,7.9556,52,2079,273,684,275,5579.703209
358800,6.174,52,1803,240,572,236,5579.703209
417500,6.9414,52,2041,270,671,253,5579.703209
430500,8.8342,52,3046,373,975,365,5614.975195
362900,7.1754,52,2318,328,779,312,4704.682155
397000,10.0825,52,2003,250,658,244,4704.682155
346800,4.9083,52,2261,328,819,335,4704.682155
327100,5.7912,52,1225,169,412,168,4746.332283
290100,4.5893,52,2315,408,835,369,4746.332283
292000,5.4171,52,2070,329,722,306,4746.332283
270900,4.125,52,2616,473,1085,487,4746.332283
371100,7.266,52,2640,366,973,355,5614.975195
335600,5.3989,52,1978,293,723,272,5614.975195
371300,7.8336,37,2220,335,903,362,6455.381451
344000,6.1593,41,1125,195,356,181,7358.56988
342200,6.381,52,3078,494,1005,462,6486.003391
370900,6.6828,52,3706,531,1205,504,6486.003391
350000,7.5385,37,3000,457,987,450,7358.56988
368600,6.7138,42,2863,460,1031,448,7358.56988
391800,6.2425,52,2551,417,894,404,6703.535769
415300,5.7979,52,2255,410,823,377,6703.535769
284900,4.2813,52,3360,648,1232,621,5864.781896
287500,3.5417,52,1693,391,669,367,5864.781896
272900,3.0132,44,2252,592,989,550,5864.781896
259600,4.1429,52,2495,491,1058,464,5039.262644
254500,4.1912,52,1193,200,506,207,5039.262644
235600,3.9167,52,1172,215,489,218,5039.262644
218400,3.8897,52,2159,424,824,388,4234.724999
229200,3.1065,48,2365,490,1034,475,4234.724999
192100,2.9926,46,1895,442,920,425,4234.724999
179300,3.556,52,1650,395,841,380,4234.724999
187500,1.475,45,453,146,749,137,3465.81163
138800,1.6971,52,409,97,208,98,3465.81163
150000,2.1705,10,503,118,228,100,4165.260252
140600,2.75,50,499,127,287,128,5015.954331
120000,2.5682,52,477,119,218,106,6431.681115
144800,2.9,46,1647,376,854,355,3465.81163
144800,2.2208,52,3123,749,1695,684,4165.260252
245500,3.2344,52,957,188,403,172,5039.262644
2.00E+05,3.5156,52,589,132,288,131,5543.782801
173700,1.9805,49,2026,548,963,521,5543.782801
185600,2.6684,50,1829,536,1129,516,4824.027621
182600,3.875,52,895,198,386,204,4824.027621
227900,3.006,52,1909,416,811,406,5039.262644
220700,2.543,46,3022,696,1293,675,5543.782801
212000,2.8676,46,1777,446,805,431,5543.782801
271400,2.1907,52,2803,930,1372,876,5864.781896
268800,1.7778,30,1465,439,862,425,6303.66946
277800,2.52,37,2619,682,1152,616,5864.781896
332500,4.2788,52,1149,255,483,249,6703.535769
338900,2.944,52,2363,604,1558,573,6703.535769
287500,1.725,52,2604,837,1798,769,6703.535769
384600,5.2289,41,685,141,266,123,7897.024567
371400,2.5562,42,1756,465,2184,422,7897.024567
350000,0.949,52,1204,460,2016,477,7897.024567
500001,1.1696,52,609,236,1349,250,7897.024567
175000,1.4012,52,1087,371,3337,350,7090.797213
241700,1.1859,52,2773,998,1721,949,7090.797213
216700,1.7464,35,3218,1108,1675,1000,6303.66946
211300,2.8846,49,1350,368,707,350,6303.66946
210200,2.7372,52,3084,698,1424,694,6303.66946
196400,3.8594,52,938,195,393,189,6208.52232
191700,3.5625,52,1813,353,828,339,5543.782801
182300,2.2788,52,1233,300,571,292,5543.782801
175000,2.537,44,2539,755,1382,713,4824.027621
165900,2.525,46,1267,324,792,321,4824.027621
156900,1.9946,52,1665,404,815,372,5575.163783
164300,2.8214,52,1659,367,788,346,6208.52232
150000,2.6165,52,2225,460,1145,430,4824.027621
150500,1.9483,50,2485,607,1354,563,5575.163783
169900,1.9327,52,2031,450,958,445,6208.52232
147400,1.9798,49,2932,668,1361,608,6208.52232
152700,2.4167,52,2246,472,1005,449,6781.863175
182700,2.5417,49,2052,435,924,414,6895.628495
179300,3.3906,52,1999,417,780,358,6208.52232
157700,2.5652,52,3007,691,1582,636,6208.52232
153100,2.2845,41,2214,550,1213,568,6208.52232
250000,2.6071,52,1088,305,486,267,6895.628495
206300,3.15,52,834,186,494,175,6895.628495
218800,2.6914,52,1769,372,849,365,6895.628495
198200,1.8447,52,2307,583,1127,548,6895.628495
253600,1.6307,35,5161,1744,3276,1742,7621.960373
257400,2.9044,52,3497,832,1493,794,7621.960373
289500,2.9405,52,3774,744,1461,679,7621.960373
241700,3.3893,52,2888,604,1253,538,7621.960373
489600,3.0417,48,2153,517,1656,459,8377.321293
446200,7.0897,52,1389,191,514,202,8377.321293
456300,5.0463,52,1709,318,719,295,8377.321293
336800,1.7652,52,1587,444,878,449,8377.321293
500001,7.8521,52,1668,225,517,214,9154.528309
500001,9.3959,52,3726,474,1366,496,8259.085109
376900,5.3794,52,4048,663,1316,590,8377.321293
309600,3.2619,52,3618,768,1508,755,7349.620842
182300,2.7054,52,4076,920,1800,815,7016.677244
172700,2.2431,47,2077,400,719,326,7016.677244
150800,1.9028,50,1279,300,675,255,7016.677244
153600,1.5817,52,1974,426,875,363,7016.677244
106300,2.2841,52,335,83,152,77,7016.677244
142300,1.3785,47,1375,307,843,319,7016.677244
119400,2.9018,52,610,145,281,132,6781.863175
147900,1.73,44,1025,198,506,204,6781.863175
132900,2.2625,48,2063,484,1054,466,6781.863175
132500,2.2106,35,1872,419,1017,414,5547.814203
126900,2.6997,52,3108,813,1623,765,4629.273249
143800,4.0018,14,7355,2408,3100,2051,5533.920971
500001,7.8772,52,2990,379,947,361,7284.913015
500001,11.8603,39,2492,310,808,315,7447.262038
500001,13.499,42,2991,335,1018,335,7447.262038
500001,12.2138,52,3242,366,1001,352,6670.966116
466100,8.1872,52,3051,381,1005,369,6670.966116
500001,12.3804,52,3494,396,1192,383,6670.966116
457800,5.8948,52,1757,246,585,227,6607.194021
471600,8.1194,52,2449,312,916,316,6607.194021
500001,8.7477,52,1611,203,556,179,6670.966116
398600,6.155,52,3665,517,1470,520,5923.307236
340700,5.883,52,2474,403,1104,398,5216.612985
289900,5.2128,52,3037,516,1242,518,3184.134391
335300,4.7188,52,2269,323,805,321,3184.134391
333000,5.2915,52,1316,177,378,162,3184.134391
241000,2.6411,52,1153,235,481,223,4501.835357
189600,3.3214,52,772,179,409,160,4276.796616
206300,3.6417,52,1711,386,885,373,4501.835357
215700,3.0161,52,2650,566,1468,567,4631.784541
210200,3.1771,52,1038,220,482,215,4631.784541
208800,3.4531,52,1527,320,825,264,4631.784541
197900,4.3098,52,859,157,429,158,4631.784541
201300,3.3438,52,970,217,528,208,3365.618217
190800,2.9213,52,1045,239,496,216,3365.618217
207900,2.6806,52,1408,280,718,265,2557.280269
215300,3.7708,52,1222,264,630,265,2557.280269
212900,3.9444,45,1169,263,723,286,2557.280269
292700,5.2601,13,2020,535,959,486,2557.280269
275000,2.5444,30,4145,869,3668,855,1406.24459
2.00E+05,2.6447,42,2038,368,2037,355,2288.102243
173400,2.5762,29,5154,1394,3741,1273,1815.631531
102200,1.9427,42,1241,309,821,300,1264.077711
220800,2.9688,52,1468,363,870,347,2662.400077
242800,3.75,27,3997,1073,1901,966,2662.400077
265400,5.1702,18,2873,763,1243,663,3413.796689
219000,2.5139,50,1487,306,730,327,1815.631531
282100,2.9732,52,1670,350,793,299,3888.486691
372000,5.5337,52,2252,388,1033,434,3214.339347
225800,4.1667,52,1731,377,872,363,3214.339347
220800,2.7115,52,1710,481,849,457,3214.339347
234500,3.3269,52,2388,559,1121,518,3214.339347
254200,3.2685,52,2156,458,872,445,4631.784541
351800,4.7778,52,1565,315,637,297,3888.486691
275000,4.226,52,1704,371,663,340,3888.486691
405400,3.3571,52,1210,168,411,172,3888.486691
