House,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Distance_to_coast
House 59,1.2171,52,1387,341,1074,304,3585.765695
House 60,2.5625,2,158,43,94,57,3340.660078
House 61,3.3929,52,1121,211,554,187,4442.149809
House 62,6.1183,49,135,29,86,23,3340.660078
House 63,0.9011,50,760,190,377,122,2249.485926
House 64,1.191,52,1224,237,521,159,2214.986056
House 65,2.5938,48,828,182,392,133,2214.986056
House 66,1.1667,52,1010,209,604,187,2214.986056
House 67,0.8056,48,1455,354,788,332,2214.986056
House 68,2.6094,52,1027,244,492,147,1197.174355
House 69,1.8516,52,572,109,274,82,2214.986056
House 70,0.9802,46,2801,644,1823,611,2249.485926
House 71,1.7719,26,768,152,392,127,2249.485926
House 72,0.7286,46,935,297,582,277,2249.485926
House 73,1.75,49,844,204,560,152,2249.485926
House 74,0.4999,46,12,4,18,7,2249.485926
House 75,2.483,20,835,161,290,133,2249.485926
House 76,0.9241,17,1237,462,762,439,2599.638961
House 77,2.4464,36,2914,562,1236,509,2599.638961
House 78,1.1111,19,1207,243,721,207,2599.638961
House 79,0.8026,23,1745,374,1054,325,2249.485926
House 80,2.0114,38,684,176,344,155,1769.573998
House 81,1.5,17,924,289,609,289,2599.638961
House 82,1.1667,52,210,56,183,56,3162.273012
House 83,1.5208,52,340,97,200,87,2599.638961
House 84,0.8075,52,386,164,346,155,2599.638961
House 85,1.8088,35,948,184,467,169,2599.638961
House 86,2.4083,52,773,143,377,115,2599.638961
House 87,0.977,40,880,451,582,380,3162.273012
House 88,0.76,10,875,348,546,330,3162.273012
House 89,0.9722,10,105,42,125,39,2524.614616
House 90,1.2434,52,249,78,396,85,2524.614616
House 91,2.0938,16,994,392,800,362,2524.614616
House 92,0.8668,52,215,87,904,88,1769.573998
House 93,0.75,52,96,31,191,34,1769.573998
House 94,2.6354,27,1055,347,718,302,2284.786543
House 95,1.8477,39,1715,623,1327,467,2524.614616
House 96,2.0096,36,5329,2477,3469,2323,3340.671619
House 97,2.8345,31,4596,1331,2048,1180,4569.927385
House 98,2.0062,29,335,107,202,91,3845.221777
House 99,1.2185,22,3682,1270,2024,1250,4569.927385
House 100,2.6104,37,3633,1085,1838,980,4569.927385
House 101,2.4912,29,4656,1414,2304,1250,4595.14988
House 102,3.2177,28,5806,1603,2563,1497,4595.14988
House 103,3.125,39,854,242,389,228,4595.14988
House 104,2.5795,52,2155,701,895,613,4595.14988
House 105,2.8406,34,5871,1914,2689,1789,3845.221777
House 106,4.9306,52,1509,225,674,244,5923.307236
House 107,3.2727,52,2026,482,709,456,5384.142107
House 108,3.1691,52,1758,460,686,422,4595.14988
House 109,3.9,52,3481,751,1444,718,5923.307236
House 110,3.9063,28,3337,855,1520,802,5216.612985
House 111,5.0917,52,1424,289,550,253,5216.612985
House 112,2.6429,32,3809,1098,1806,1022,5216.612985
House 113,3.0233,26,3959,1196,1749,1217,5216.612985
House 114,3.1484,52,2376,559,939,519,5981.936281
House 115,3.4722,35,1613,428,675,422,5981.936281
House 116,3.1429,52,1279,287,534,291,5981.936281
House 117,2.4234,28,5022,1750,2558,1661,5981.936281
House 118,3.0897,52,4190,1105,1786,1037,5981.936281
House 119,5.8596,50,2515,399,970,373,8006.933746
House 120,5.2868,47,3175,454,1098,485,8006.933746
House 121,5.956,41,2576,406,794,376,6607.194021
House 122,4.9643,37,334,54,98,47,8259.085109
House 123,6.3434,52,2800,411,1061,403,8810.498285
House 124,5.1773,52,3529,574,1177,555,7395.763579
House 125,7.2354,52,2612,365,901,367,8259.085109
House 126,5.457,28,5287,1048,2031,956,9411.713364
House 127,7.5,50,2935,473,1031,479,8664.175753
House 128,6.0194,44,3424,597,1358,597,9357.78709
House 129,7.5544,40,4991,674,1616,654,8748.161389
House 130,6.0666,30,2211,346,844,343,10080.26295
House 131,7.0548,34,3038,490,1140,496,9357.78709
House 132,11.6017,18,1617,210,533,194,10825.82592
House 133,7.4882,35,2865,460,1072,443,10080.26295
House 134,6.8976,34,5065,788,1627,766,8748.161389
House 135,8.2049,28,1326,184,463,190,10303.62416
House 136,8.401,26,1589,223,542,211,9517.129435
House 137,6.8538,29,1791,271,661,269,10303.62416
House 138,8.317,32,1835,264,635,263,9879.458244
House 139,7.0175,37,1229,181,420,176,9056.084428
House 140,6.3302,39,3770,534,1265,500,9056.084428
House 141,6.3624,30,292,38,126,52,9430.448165
House 142,7.0549,52,2375,333,813,350,8244.10925
House 143,6.7851,45,2964,436,1067,426,8713.348297
House 144,2.8929,50,2833,605,1260,552,7632.426885
House 145,3.0812,38,2254,535,951,487,7632.426885
House 146,5.2402,52,1389,212,510,224,7865.952463
House 147,6.5217,52,1971,335,765,308,7026.228662
House 148,3.2632,52,2183,465,1129,460,6763.647537
House 149,3.0298,52,2286,464,1073,441,6763.647537
House 150,4.5428,52,2721,541,1185,515,6763.647537
House 151,4.072,52,2024,339,756,340,7026.228662
House 152,5.3509,52,2944,536,1034,521,7026.228662
House 153,3.1603,52,2033,486,787,459,5897.79929
House 154,4.7708,52,1433,229,612,213,6197.296335
House 155,8.1564,52,2927,402,1021,380,7026.228662
House 156,8.8793,52,2315,292,861,258,6197.296335
House 157,6.8591,52,2485,313,953,327,5384.142107
House 158,6.0302,52,1490,238,634,256,5384.142107
House 159,7.508,52,2814,365,878,352,6197.296335
House 160,2.7477,52,2093,550,918,483,5384.142107
House 161,2.1944,52,888,168,360,175,5036.394117
House 162,3.0149,52,2087,510,1197,488,4182.178356
House 163,3.675,52,2513,502,1048,518,5384.142107
House 164,3.225,46,3232,835,1373,747,4595.14988
House 165,2.9345,42,4120,1065,1715,1015,4182.178356
House 166,2.1429,43,2364,792,1359,722,4182.178356
House 167,1.6121,41,1471,469,1062,413,4182.178356
House 168,1.3929,29,2468,864,1335,773,4182.178356
House 169,2.3173,27,1632,492,1171,429,4920.813655
House 170,1.7772,45,1786,526,1475,460,4042.114695
House 171,2.6458,50,629,188,742,196,4042.114695
House 172,2.181,52,1339,391,1086,363,4042.114695
House 173,2.2303,36,1678,606,1645,543,4182.178356
House 174,1.6504,43,2344,647,1710,644,4182.178356
House 175,2.2697,52,996,228,731,228,5036.394117
House 176,2.1563,52,1591,373,1118,347,5036.394117
House 177,2.1348,52,1586,398,1006,335,5036.394117
House 178,2.6292,47,2046,588,1213,554,5036.394117
House 179,2.3833,52,1192,289,772,257,5897.79929
House 180,2.957,52,1803,420,1321,401,5036.394117
House 181,2.5238,49,2838,749,1487,677,5036.394117
House 182,1.9375,52,783,184,488,186,5897.79929
House 183,1.9028,51,1590,414,949,392,5897.79929
House 184,2.25,50,1746,480,1149,415,5897.79929
House 185,2.3929,52,1252,299,844,280,5897.79929
House 186,2.1917,43,5963,1344,4367,1231,5799.521768
House 187,2.9357,52,1783,395,1659,412,5799.521768
House 188,1.8854,30,999,264,1011,263,5799.521768
House 189,2.1638,39,1469,431,1464,389,4920.813655
House 190,2.125,47,1372,395,1237,303,4920.813655
House 191,3.375,52,674,180,647,168,4920.813655
House 192,2.2542,43,1626,376,1284,357,4920.813655
House 193,2.1,51,175,43,228,55,4042.114695
House 194,1.6,39,461,129,381,123,4042.114695
House 195,3.625,52,902,237,846,227,4042.114695
House 196,1.6929,20,2373,779,1659,676,3340.671619
House 197,1.6471,52,391,128,520,138,4226.277699
House 198,2.59,52,1137,301,866,259,4226.277699
House 199,2.57,52,769,206,612,183,4276.796616
House 200,2.6429,52,472,146,415,126,5377.371952
House 201,3.0257,52,862,215,994,213,5377.371952
House 202,1.4886,50,1920,530,1525,477,5337.285928
House 203,1.9338,43,1420,472,1506,438,5377.371952
House 204,1.4844,52,986,258,1008,255,5377.371952
House 205,1.6009,44,2340,825,2813,751,5377.371952
House 206,2.0375,48,1696,396,1481,343,5799.521768
House 207,2.293,49,1175,217,859,219,5799.521768
House 208,2.1494,37,2343,574,1608,523,6448.618559
House 209,1.6198,30,610,145,425,140,5799.521768
House 210,1.3281,40,930,199,564,184,5799.521768
House 211,3.5156,44,1487,314,961,272,6448.618559
House 212,3.9048,52,3424,690,2273,685,6448.618559
House 213,3.0893,52,762,190,600,195,6534.583344
House 214,2.6042,46,2366,575,1647,527,6448.618559
House 215,2.5,49,1826,450,1201,424,6448.618559
House 216,2.7969,38,3049,711,2167,659,6448.618559
House 217,2.8321,29,1640,376,939,340,6735.163378
House 218,2.9583,47,1543,307,859,292,6534.583344
House 219,2.8365,34,2364,557,1517,516,6534.583344
House 220,2.875,35,1745,409,1143,386,6534.583344
House 221,3.0682,39,2003,500,1109,464,7632.426885
House 222,3.0757,39,2018,447,1221,446,7632.426885
House 223,4.9559,43,3045,499,1115,455,7805.948837
House 224,4.7721,52,1547,293,706,268,7805.948837
House 225,3.4861,52,3519,711,1883,706,7632.426885
House 226,5.1184,41,2070,354,804,340,7805.948837
House 227,4.0977,48,1321,263,506,252,7632.426885
House 228,4.744,48,1694,259,610,238,8070.902204
House 229,4.2727,46,1938,341,768,332,8070.902204
House 230,2.9844,50,968,195,462,184,7040.569582
House 231,4.1739,40,1060,256,667,235,6735.163378
House 232,3.8487,46,2041,405,1059,399,7805.948837
House 233,4.0114,52,1813,271,637,277,8070.902204
House 234,4.6563,45,2718,451,1106,454,7040.569582
House 235,2.9297,28,3144,761,1737,669,7040.569582
House 236,2.3036,35,1802,459,1009,390,6735.163378
House 237,2.6667,49,882,195,737,210,6735.163378
House 238,2.619,44,1621,452,1354,491,6735.163378
House 239,2.4167,45,2115,533,1530,474,6534.583344
House 240,2.7788,45,2021,528,1410,480,6735.163378
House 241,2.7352,46,2239,508,1390,569,5440.851975
House 242,1.8472,52,1477,300,1065,269,5440.851975
House 243,2.6583,52,1056,224,792,245,5440.851975
House 244,3.0536,49,898,244,779,245,5440.851975
House 245,2.3906,44,2968,710,2269,610,5337.285928
House 246,1.7188,43,1702,460,1227,407,5440.851975
House 247,2.625,47,881,248,753,241,5440.851975
House 248,2.8015,40,494,114,547,135,4226.277699
House 249,1.7276,50,1776,473,1807,440,5337.285928
House 250,2.0801,44,1678,514,1700,495,5337.285928
House 251,2.489,51,1637,463,1543,393,5337.285928
House 252,1.7546,52,1420,314,1085,300,3290.233828
House 253,4.0904,52,591,173,353,137,4356.354355
House 254,2.6765,52,745,153,473,149,4356.354355
House 255,2.4338,49,2272,498,1621,483,4651.90171
House 256,2.3309,46,1234,375,1183,354,4356.354355
House 257,2.2604,43,1017,328,836,277,4356.354355
House 258,1.8039,42,932,254,900,263,5084.144167
House 259,2.2562,39,2689,597,1888,537,4651.90171
House 260,2.0562,41,1547,415,1024,341,4651.90171
House 261,3.5398,52,2300,443,1225,423,5680.217997
House 262,3.1167,39,1752,399,1071,376,5680.217997
House 263,2.5401,50,1867,403,1128,378,5680.217997
House 264,2.898,43,2430,502,1537,484,4651.90171
House 265,2.3125,44,1729,414,1240,393,5440.851975
House 266,2.875,52,1026,180,469,168,6039.258223
House 267,3.3715,52,2170,428,1086,425,5084.144167
House 268,3.5114,52,2329,445,1144,417,5084.144167
House 269,4.3125,52,2492,415,1109,375,6039.258223
House 270,3.22,52,2198,397,984,369,6039.258223
House 271,3.875,33,142,31,575,47,6498.165922
House 272,5.2328,49,1183,205,496,209,6039.258223
House 273,3.7262,52,1070,193,555,190,6039.258223
House 274,4.5893,45,1766,332,869,327,5680.217997
House 275,5.2578,39,617,95,236,106,7437.9004
House 276,7.0875,41,1411,233,626,214,7437.9004
House 277,3.9712,46,2109,387,922,329,7437.9004
House 278,2.9514,47,1229,243,582,256,7040.569582
House 279,2.6667,50,954,217,546,201,7040.569582
House 280,5.4446,37,1643,262,620,266,9430.448165
House 281,6.2838,34,1355,195,442,195,8419.704653
House 282,6.7527,23,2317,336,955,328,8419.704653
House 283,7.0712,24,2459,317,916,324,9141.323823
House 284,5.9849,22,12842,2048,4985,1967,8453.667296
House 285,3.6875,42,1524,260,651,267,7037.431194
House 286,2.875,30,3326,746,1704,703,6237.233753
House 287,3.4205,43,1985,440,1085,407,6498.165922
House 288,3.2984,50,1642,322,713,284,6498.165922
House 289,3.875,49,893,177,468,181,7037.431194
House 290,4.175,52,653,128,296,121,7037.431194
House 291,4.375,47,1256,217,570,218,6910.08794
House 292,4.7708,48,977,194,446,180,6910.08794
House 293,3.5739,45,2324,397,968,384,6910.08794
House 294,3.0958,39,1583,349,857,316,6910.08794
House 295,3.3958,39,1612,342,912,322,6237.233753
House 296,1.871,31,2424,533,1360,452,6237.233753
House 297,1.9356,41,1594,367,1074,355,5545.592294
House 298,2.1842,47,2118,413,965,382,5545.592294
House 299,2.2917,37,1575,358,933,320,4842.761866
House 300,2.4333,38,1764,397,987,354,5545.592294
House 301,1.9479,50,1187,261,907,246,4842.761866
House 302,3.9063,52,754,175,447,165,4842.761866
House 303,1.8407,49,2308,452,1299,451,4842.761866
House 304,2.0786,27,909,236,396,157,5621.638586
House 305,2.8125,42,1180,257,877,268,5621.638586
House 306,1.8913,43,2018,408,1111,367,4842.761866
House 307,1.7056,49,1368,282,790,269,4206.81187
House 308,2.2768,52,2744,547,1479,554,5621.638586
House 309,3.2552,51,2107,471,1173,438,5621.638586
House 310,2.0556,52,1748,362,1029,366,5621.638586
House 311,2.4659,52,2024,391,1030,350,4206.81187
House 312,1.75,47,1116,259,826,279,3672.650924
House 313,2.0469,41,2036,510,1412,454,5084.144167
House 314,2.7159,45,1852,393,1132,349,5084.144167
House 315,1.2083,41,921,207,522,159,4206.81187
House 316,1.925,45,995,238,630,237,4206.81187
House 317,1.5809,36,606,132,531,133,2794.530794
House 318,1.4097,37,2680,736,1925,667,3672.650924
House 319,0.7683,38,1493,370,1144,351,4206.81187
House 320,1.3194,19,2207,565,1481,520,3466.824553
House 321,0.8012,28,856,189,435,162,3466.824553
House 322,1.9479,26,1293,297,984,303,4206.81187
House 323,1.1765,36,847,212,567,159,2968.727175
House 324,2.3456,42,541,154,380,123,3817.063385
House 325,2.1538,44,1066,253,825,244,2842.652244
House 326,2.5139,43,707,147,417,155,2968.727175
House 327,1.2625,45,1528,291,801,287,2842.652244
House 328,2.9063,42,909,215,646,198,3719.957147
House 329,2.5192,43,1391,293,855,285,3719.957147
House 330,2.1111,44,548,119,435,136,3719.957147
House 331,2.455,42,4074,874,2736,780,3719.957147
House 332,2.4028,41,1613,445,1481,414,4676.879049
House 333,2.15,47,463,134,327,137,4676.879049
House 334,2.4776,43,818,193,494,179,4676.879049
House 335,2.1587,43,1473,371,1231,341,4598.074856
House 336,1.8438,35,504,126,323,109,3817.063385
House 337,3.0298,46,1026,226,749,225,4676.879049
House 338,2.25,46,769,183,693,178,4676.879049
House 339,2.2467,46,2103,391,1339,354,3817.063385
House 340,4.0469,45,330,76,282,80,4216.008379
House 341,1.325,46,941,218,621,195,4216.008379
House 342,1.6196,38,992,279,732,259,5007.690566
House 343,2.1731,45,990,261,901,260,4216.008379
House 344,1.9167,36,1126,263,482,150,3466.824553
House 345,2.069,43,1036,233,652,213,4216.008379
House 346,1.712,36,1047,214,651,166,4216.008379
House 347,2.5625,33,1280,307,999,286,5545.592294
House 348,1.9821,43,1587,320,907,306,5007.690566
House 349,2.5043,41,1257,271,828,230,5007.690566
House 350,2.3281,44,1218,248,763,254,5007.690566
House 351,1.4375,48,1751,390,935,349,5007.690566
House 352,2.5122,45,2299,514,1437,484,6292.934151
House 353,1.5625,38,2457,624,1516,482,5824.567526
House 354,3.1587,47,998,211,597,185,5007.690566
House 355,1.8426,40,1685,343,949,342,5545.592294
House 356,4.6696,46,1827,307,881,302,6292.934151
House 357,2.4598,36,2781,574,1438,519,6292.934151
House 358,6.0749,39,1823,286,763,270,7070.687478
House 359,4.8304,27,2229,365,1297,355,8371.360322
House 360,5.5701,34,1513,231,545,211,7869.840996
House 361,5.37,26,3266,491,1222,533,8684.488918
House 362,6.86,33,1809,261,808,219,9207.81797
House 363,7.6923,28,794,111,329,109,9207.81797
House 364,4.0313,36,690,105,299,109,7500.798773
House 365,6.8323,33,1334,200,579,202,7500.798773
House 366,4.975,30,414,54,137,50,8351.631895
House 367,5.3602,36,768,93,229,93,8351.631895
House 368,5,41,4400,666,1476,648,8157.942379
House 369,2.925,46,954,161,429,154,5824.567526
House 370,3.8913,40,1445,256,849,255,6657.371306
House 371,3.225,44,1938,399,946,331,6657.371306
House 372,3.1458,41,856,178,571,191,6412.443024
House 373,2.537,24,1790,454,1137,386,5824.567526
House 374,2.5568,44,617,131,378,135,5824.567526
House 375,3.5083,43,1383,275,853,272,6412.443024
House 376,3.3125,49,1325,277,764,282,6412.443024
House 377,1.8235,40,1227,294,928,261,5824.567526
House 378,3.8047,35,667,140,406,133,5824.567526
House 379,2.2917,34,1223,281,824,280,4676.879049
House 380,2.4962,37,1379,287,835,259,5007.690566
House 381,4.0417,43,1534,300,826,295,5542.834584
House 382,3.4844,46,1029,181,567,211,5542.834584
House 383,4.1458,52,771,147,355,144,5542.834584
House 384,2.625,47,824,223,533,166,5542.834584
House 385,2.0227,44,1097,239,609,215,5542.834584
House 386,3.3333,49,1283,238,576,236,3830.768673
House 387,5.338,52,1604,263,594,286,3830.768673
House 388,3.4732,52,2248,422,870,377,3881.676339
House 389,3.5125,38,2263,522,1027,509,2958.944293
House 390,3.1375,52,1571,349,693,326,3881.676339
House 391,2.8036,46,1520,402,815,375,3024.428823
House 392,4.5824,15,5083,1212,2420,1146,2958.944293
House 393,3.0208,36,1077,293,518,276,3024.428823
House 394,4.0875,52,1248,283,620,275,3024.428823
House 395,4.5268,42,1342,291,551,266,791.5494265
House 396,1.7375,37,3061,930,2556,924,1931.304004
House 397,3.1795,52,3171,698,1498,696,3881.676339
House 398,3.8672,50,1211,261,523,227,4234.724999
House 399,5.1675,52,979,175,374,153,3881.676339
House 400,5.1696,52,2269,380,1004,371,3881.676339
House 401,4.2614,52,1844,332,769,334,5039.262644
House 402,5.0551,52,2178,421,940,423,3881.676339
House 403,5.6228,42,1650,274,645,256,5579.703209
House 404,7.8864,52,1927,279,705,288,6455.381451
House 405,7.9556,52,2079,273,684,275,5579.703209
House 406,6.174,52,1803,240,572,236,5579.703209
House 407,6.9414,52,2041,270,671,253,5579.703209
House 408,8.8342,52,3046,373,975,365,5614.975195
House 409,7.1754,52,2318,328,779,312,4704.682155
House 410,10.0825,52,2003,250,658,244,4704.682155
House 411,4.9083,52,2261,328,819,335,4704.682155
House 412,5.7912,52,1225,169,412,168,4746.332283
House 413,4.5893,52,2315,408,835,369,4746.332283
House 414,5.4171,52,2070,329,722,306,4746.332283
House 415,4.125,52,2616,473,1085,487,4746.332283
House 416,7.266,52,2640,366,973,355,5614.975195
House 417,5.3989,52,1978,293,723,272,5614.975195
House 418,7.8336,37,2220,335,903,362,6455.381451
House 419,6.1593,41,1125,195,356,181,7358.56988
House 420,6.381,52,3078,494,1005,462,6486.003391
House 421,6.6828,52,3706,531,1205,504,6486.003391
House 422,7.5385,37,3000,457,987,450,7358.56988
House 423,6.7138,42,2863,460,1031,448,7358.56988
House 424,6.2425,52,2551,417,894,404,6703.535769
House 425,5.7979,52,2255,410,823,377,6703.535769
House 426,4.2813,52,3360,648,1232,621,5864.781896
House 427,3.5417,52,1693,391,669,367,5864.781896
House 428,3.0132,44,2252,592,989,550,5864.781896
House 429,4.1429,52,2495,491,1058,464,5039.262644
House 430,4.1912,52,1193,200,506,207,5039.262644
House 431,3.9167,52,1172,215,489,218,5039.262644
House 432,3.8897,52,2159,424,824,388,4234.724999
House 433,3.1065,48,2365,490,1034,475,4234.724999
House 434,2.9926,46,1895,442,920,425,4234.724999
House 435,3.556,52,1650,395,841,380,4234.724999
House 436,1.475,45,453,146,749,137,3465.81163
House 437,1.6971,52,409,97,208,98,3465.81163
House 438,2.1705,10,503,118,228,100,4165.260252
House 439,2.75,50,499,127,287,128,5015.954331
House 440,2.5682,52,477,119,218,106,6431.681115
House 441,2.9,46,1647,376,854,355,3465.81163
House 442,2.2208,52,3123,749,1695,684,4165.260252
House 443,3.2344,52,957,188,403,172,5039.262644
House 444,3.5156,52,589,132,288,131,5543.782801
House 445,1.9805,49,2026,548,963,521,5543.782801
House 446,2.6684,50,1829,536,1129,516,4824.027621
House 447,3.875,52,895,198,386,204,4824.027621
House 448,3.006,52,1909,416,811,406,5039.262644
House 449,2.543,46,3022,696,1293,675,5543.782801
House 450,2.8676,46,1777,446,805,431,5543.782801
House 451,2.1907,52,2803,930,1372,876,5864.781896
House 452,1.7778,30,1465,439,862,425,6303.66946
House 453,2.52,37,2619,682,1152,616,5864.781896
House 454,4.2788,52,1149,255,483,249,6703.535769
House 455,2.944,52,2363,604,1558,573,6703.535769
House 456,1.725,52,2604,837,1798,769,6703.535769
House 457,5.2289,41,685,141,266,123,7897.024567
House 458,2.5562,42,1756,465,2184,422,7897.024567
House 459,0.949,52,1204,460,2016,477,7897.024567
House 460,1.1696,52,609,236,1349,250,7897.024567
House 461,1.4012,52,1087,371,3337,350,7090.797213
House 462,1.1859,52,2773,998,1721,949,7090.797213
House 463,1.7464,35,3218,1108,1675,1000,6303.66946
House 464,2.8846,49,1350,368,707,350,6303.66946
House 465,2.7372,52,3084,698,1424,694,6303.66946
House 466,3.8594,52,938,195,393,189,6208.52232
House 467,3.5625,52,1813,353,828,339,5543.782801
House 468,2.2788,52,1233,300,571,292,5543.782801
House 469,2.537,44,2539,755,1382,713,4824.027621
House 470,2.525,46,1267,324,792,321,4824.027621
House 471,1.9946,52,1665,404,815,372,5575.163783
House 472,2.8214,52,1659,367,788,346,6208.52232
House 473,2.6165,52,2225,460,1145,430,4824.027621
House 474,1.9483,50,2485,607,1354,563,5575.163783
House 475,1.9327,52,2031,450,958,445,6208.52232
House 476,1.9798,49,2932,668,1361,608,6208.52232
House 477,2.4167,52,2246,472,1005,449,6781.863175
House 478,2.5417,49,2052,435,924,414,6895.628495
House 479,3.3906,52,1999,417,780,358,6208.52232
House 480,2.5652,52,3007,691,1582,636,6208.52232
House 481,2.2845,41,2214,550,1213,568,6208.52232
House 482,2.6071,52,1088,305,486,267,6895.628495
House 483,3.15,52,834,186,494,175,6895.628495
House 484,2.6914,52,1769,372,849,365,6895.628495
House 485,1.8447,52,2307,583,1127,548,6895.628495
House 486,1.6307,35,5161,1744,3276,1742,7621.960373
House 487,2.9044,52,3497,832,1493,794,7621.960373
House 488,2.9405,52,3774,744,1461,679,7621.960373
House 489,3.3893,52,2888,604,1253,538,7621.960373
House 490,3.0417,48,2153,517,1656,459,8377.321293
House 491,7.0897,52,1389,191,514,202,8377.321293
House 492,5.0463,52,1709,318,719,295,8377.321293
House 493,1.7652,52,1587,444,878,449,8377.321293
House 494,7.8521,52,1668,225,517,214,9154.528309
House 495,9.3959,52,3726,474,1366,496,8259.085109
House 496,5.3794,52,4048,663,1316,590,8377.321293
House 497,3.2619,52,3618,768,1508,755,7349.620842
House 498,2.7054,52,4076,920,1800,815,7016.677244
House 499,2.2431,47,2077,400,719,326,7016.677244
House 500,1.9028,50,1279,300,675,255,7016.677244
House 501,1.5817,52,1974,426,875,363,7016.677244
House 502,2.2841,52,335,83,152,77,7016.677244
House 503,1.3785,47,1375,307,843,319,7016.677244
House 504,2.9018,52,610,145,281,132,6781.863175
House 505,1.73,44,1025,198,506,204,6781.863175
House 506,2.2625,48,2063,484,1054,466,6781.863175
House 507,2.2106,35,1872,419,1017,414,5547.814203
House 508,2.6997,52,3108,813,1623,765,4629.273249
House 509,4.0018,14,7355,2408,3100,2051,5533.920971
House 510,7.8772,52,2990,379,947,361,7284.913015
House 511,11.8603,39,2492,310,808,315,7447.262038
House 512,13.499,42,2991,335,1018,335,7447.262038
House 513,12.2138,52,3242,366,1001,352,6670.966116
House 514,8.1872,52,3051,381,1005,369,6670.966116
House 515,12.3804,52,3494,396,1192,383,6670.966116
House 516,5.8948,52,1757,246,585,227,6607.194021
House 517,8.1194,52,2449,312,916,316,6607.194021
House 518,8.7477,52,1611,203,556,179,6670.966116
House 519,6.155,52,3665,517,1470,520,5923.307236
House 520,5.883,52,2474,403,1104,398,5216.612985
House 521,5.2128,52,3037,516,1242,518,3184.134391
House 522,4.7188,52,2269,323,805,321,3184.134391
House 523,5.2915,52,1316,177,378,162,3184.134391
House 524,2.6411,52,1153,235,481,223,4501.835357
House 525,3.3214,52,772,179,409,160,4276.796616
House 526,3.6417,52,1711,386,885,373,4501.835357
House 527,3.0161,52,2650,566,1468,567,4631.784541
House 528,3.1771,52,1038,220,482,215,4631.784541
House 529,3.4531,52,1527,320,825,264,4631.784541
House 530,4.3098,52,859,157,429,158,4631.784541
House 531,3.3438,52,970,217,528,208,3365.618217
House 532,2.9213,52,1045,239,496,216,3365.618217
House 533,2.6806,52,1408,280,718,265,2557.280269
